Richard J. Daley Center	50 W Washington St	Chicago	IL	60602	41.884328	-87.6301134	1743872400	1743879600
Williamsburg James City County Courthouse	5201 Monticello Ave	Williamsburg	VA	23188	37.2755275	-76.7414314	1743876000	1743883200
Utah State Capitol	350 N State St	Salt Lake City	UT	84103	40.7757341	-111.8882189	1743876000	1743883200
	2590 El Camino Real	Mountain View	CA	94040	37.4012191	-122.1129124	1743876000	1743883200
Philadelphia City Hall	1400 John F Kennedy Blvd	Philadelphia	PA	19107	39.9528	-75.1634833	1743868800	1743879600
Washington Monument	2 15th St NW	Washington	DC	20004	38.8894839	-77.0352791	1743868800	1743881400
SW corner of 5th & Penn Streets	5th Street & Penn Street	Reading	PA	19602	40.3353722	-75.9278532	1743868800	1743872400
Bryant Park		New York	NY	10018	40.7535367	-73.9829529	1743872400	1743879600
West Capitol Park	West Capitol Park, State 85, S Swan St	Albany	NY	12210	42.6534691	-73.7586339	1743865200	1743872400
Redwood City	Corner of Jefferson Ave and El Camino Real	Redwood City	CA	94062	37.482742	-122.2304331	1743879600	1743885000
Main Street Bennington Vermont at 4 Corners	U.S. 7 & Vermont 9	Bennington	VT	05201	42.8783658	-73.197124	1743868800	1743872400
Old Courthouse Square	3rd Street and Santa Rosa Ave	Santa Rosa	CA	95404	38.4396575	-122.7134314	1743890400	1743897600
Alameda City Hall	2263 Santa Clara Ave	Alameda	CA	94501	37.7664718	-122.243506	1743879600	1743883200
Mill River Park	1092 Washington Blvd	Stamford	CT	06901	41.0545174	-73.5435386	1743868800	1743874200
Hinds Plaza	Sylvia Beach Way	Princeton	NJ	08542	40.3513172	-74.6601784	1743868800	1743874200
Window on the Bay	717 Del Monte Ave	Monterey	CA	93940	36.600178	-121.886778	1743876000	1743883200
Burton M. Cross Office Building	111 Sewall St	Augusta	ME	04330	44.3075593	-69.7829666	1743868800	1743876000
Connecticut State Capitol	210 Capitol Ave	Hartford	CT	06106	41.7641979	-72.682467	1743879600	1743890400
Boca Raton City Hall	201 W Palmetto Park Road	Boca Raton	FL	33432	26.351189	-80.090518	1743872400	1743877800
Green Co Courthouse	45 N Detroit St	Xenia	OH	45385	39.6856136	-83.9290098	1743879600	1743886800
Louisiana State Capitol	900 N 3rd St b170	Baton Rouge	LA	70802	30.4571913	-91.1872714	1743868800	1743883200
Torch of Friendship	301 Biscayne Blvd	Miami	FL	33132	25.7776071	-80.1877094	1743868800	1743879600
Courthouse Park	60 N Washington St	Sonora	CA	95370	37.9859226	-120.3841043	1743879600	1743886800
120 NW 4th St, Corvallis, OR 97330		Corvallis	OR	97330	44.5646356	-123.2619607	1743879600	1743890400
West Steps of the Capitol	200 E Colfax Ave	Denver	CO	80203	39.7395186	-104.984796	1743876000	1743890400
Parkman Bandstand	139 Tremont St	Boston	MA	02108	42.3543594	-71.0655102	1743865200	1743876000
Hagerstown Public Square	Public Square	Hagerstown	MD	21740	39.6420483	-77.7202753	1743868800	1743876000
Community Christian Church	4601 Main St	Kansas City	MO	64112	39.0432533	-94.5865056	1743865200	1743879600
We will NOT be marching to City Hall but to Waterfront Park-- are unable to change this on the website.	Washington 305 & Winslow Way East	Bainbridge Island	WA	98110	47.6248519	-122.5141315	1743879600	1743886800
NYNY (sidewalk in front near Statue of Liberty)	3790 Las Vegas Blvd S	Las Vegas	NV	89109	36.1015506	-115.1738858	1743879600	1743894000
Ruth Steinkrause Cohen Bridge	1 Parker Harding Plaza 33	Westport	CT	06880	41.1414	-73.362186	1743865200	1743870600
Roseville Galleria	Galleria Boulevard & Roseville Parkway	Roseville	CA	95678	38.7688673	-121.2658887	1743876000	1743886800
Flagstaff City Hall	211 W Aspen Ave	Flagstaffstaff	AZ	86001	35.1990588	-111.6516439	1743879600	1743886800
Riverside Gardens Park		Red Bank	NJ	07701	40.3520185	-74.0676481	1743872400	1743879600
USPS/Bank Newport	600 Main Rd	Tiverton	RI	02878	41.6566386	-71.1925198	1743868800	1743872400
Guernsey County Court House	801 Wheeling Ave	Cambridge	OH	43725	40.0254407	-81.5898873	1743879600	1743883200
Corners at H and Central  Lompoc, CA	North H Street & East Central Avenue	Lompoc	CA	93436	34.6608496	-120.4577247	1743883200	1743892200
	363 N Main St	Fort Bragg	CA	95437	39.4453925	-123.8061351	1743879600	1743886800
Friday Harbor	350 Court Street	Friday Harbor	WA	98250	48.5358648	-123.0187755	1743879600	1743886800
	8 E De La Guerra St	Santa Barbara	CA	93101	34.4199533	-119.6986664	1743883200	1743890400
Bellingham City Hall	210 Lottie St	Bellingham	WA	98225	48.75512	-122.4788352	1743879600	1743885000
Connecticut State Capitol	210 Capitol Ave	Hartford	CT	06106	41.7642631	-72.6822803	1743879600	1743890400
Courthouse	100 N State Street	Ukiah	CA	95482	39.150155	-123.2083196	1743872400	1743879600
6th and Main	6th Avenue & Main Street	Longmont	CO	80501	40.1690332	-105.1025847	1743879600	1743883200
SLO Courthouse	1050 Monterey St	San Luis Obispo	CA	93408	35.2826475	-120.6609589	1743879600	1743885000
Target	Bell Rd	Auburn	CA	95603	38.9421389	-121.0829821	1743876000	1743883200
Detroit Institute of Arts	5200 Woodward Ave	Detroit	MI	48202	42.3593793	-83.064501	1743872400	1743883200
Hope High School	324 Hope St	Providence	RI	02906	41.8348047	-71.4026154	1743868800	1743874200
	9450 Ocean Hwy	Pawleys Island	SC	29585	33.4310166	-79.1425115	1743863400	1743874200
	1000 Broadway	Columbus	GA	31901	32.4649377	-84.9929846	1743858000	1743868800
Torrance City Hall	3031 Torrance Blvd	Torrance	CA	90503	33.8369228	-118.3407538	1743879600	1743886800
Civic Center Plaza	335 McAllister St	San Francisco	CA	94102	37.7794929	-122.4176986	1743883200	1743890400
North Park Amphitheater Parking Lot	7660 Fulton Rd NW	canton	OH	44646	40.85875	-81.4938102	1743868800	1743876000
HANDS OFF!  PALM BEACH COUNTY FIGHTS BACK.	Corner of Campus Dr. and PGA Blvd	Palm Beach Gardens	FL	33410	26.8449608	-80.0886743	1743861600	1743868800
Washington Park	1230 Elm St	Cincinnati	OH	45202	39.108929	-84.5172249	1743865200	1743872400
Japanese American Historical Plaza	Naito and Couch	Portland	OR	97209	45.5238967	-122.6702586	1743879600	1743894000
Piedmont Park (Oak Hill section, near 10th St NE and Argonne Ave NE)	10th Street Northeast & Argonne Avenue Northeast	Atlanta	GA	30309	33.7817837	-84.3776614	1743870600	1743885000
Intersection of Henley St, Western Ave, and Summit Hill	800 Worlds Fair Park Dr	Knoxville	TN	37902	35.9642781	-83.9244207	1743876000	1743883200
Lafayette Square	S Maestri St	New Orleans	LA	70130	29.94827	-90.0703383	1743879600	1743890400
Courthouse	825 Brown St	Napa	CA	94559	38.2977667	-122.2850022	1743879600	1743885000
South Carolina State House	1100 Gervais St	Columbia	SC	29208	34.0000786	-81.0329971	1743872400	1743886800
California State Capitol.	1310 10th St	Sacramento	CA	95814	38.5769628	-121.4955018	1743876000	1743888600
Mill River Park	1092 Washington Blvd	Stamford	CT	06901	41.0545174	-73.5435386	1743868800	1743874200
Houston City Hall	901 Bagby St	Houston	TX	77002	29.7602203	-95.3693449	1743872400	1743883200
	1528 S El Camino Real	San Mateo	CA	94402	37.5533258	-122.3158773	1743877800	1743885000
	Shady Avenue & Fifth Avenue	Pittsburgh	PA	15206	40.4528968	-79.9207183	1743886800	1743890400
White’s Corner - Central Plaza	2 Water St	Haverhill	MA	01830	42.7759744	-71.0752189	1743861600	1743867000
	Market Street & University Avenue	Riverside	CA	92501	33.982496	-117.3757387	1743903000	1743908400
Longview	RA Long Square	Longview	WA	98632	46.139331	-122.9389613	1743879600	1743883200
Arizona 87	AZ-87	Payson	AZ	85541	34.2442302	-111.3229531	1743883200	1743886800
	43 to 63 Belmont St	Worcester	MA	01605	42.2721256	-71.7940339	1743865200	1743872400
Hawaii State Capitol	415 S Beretania St.	Honolulu	HI	96813	21.3072405	-157.8574296	1743890400	1743897600
Gallatin County Court House	311 W Main St	Bozeman	MT	59715	45.6796561	-111.0418264	1743876000	1743879600
Healing Park on Conwell	120 S Conwell St	Casper	WY	82601	42.8494323	-106.3081055	1743883200	1743886800
Portage Crossing - Corner of State Rd. and Portage Trail	2878 State Rd	Cuyahoga Falls	OH	44223	41.1503123	-81.5091936	1743867000	1743872400
Washington State Capitol Building	416 Sid Snyder Ave SW	Olympia	WA	98504	47.0359422	-122.9044453	1743886800	1743894000
Munn Park	201 E Main St	Lakeland	FL	33801	28.0438693	-81.9560261	1743872400	1743879600
	Farm to Market Road 423 & Old Newman Road	Frisco	TX	75036	33.1496578	-96.8907934	1743876000	1743879600
	180 N First St	San Jose	CA	95113	37.3386938	-121.8921143	1743879600	1743886800
